time,m1,m2,m3,m4
0,-0.603,0.614,0.262,0.687
1,-0.385,0.455,0.635,0.395
2,0.267,0.543,0.643,0.816
3,0.755,0.534,0.310,0.761
4,0.948,0.444,0.582,0.203
5,0.951,0.628,0.558,0.504
6,0.643,0.916,0.348,0.773
7,0.552,0.616,0.783,0.669
8,0.429,0.158,0.505,0.953
9,0.899,0.385,0.916,0.930
10,0.762,0.009,0.412,0.730
11,0.754,0.248,-0.407,-0.180
12,0.562,-0.003,-0.941,-1.047
13,0.561,-0.235,0.134,-0.784
14,0.418,-0.783,-0.274,-0.631
15,0.386,-0.375,-0.304,-0.596
16,0.036,-0.216,0.303,-0.151
17,0.404,-0.104,0.230,0.264
18,-0.297,0.018,-0.280,0.109
19,-0.172,-0.192,-0.464,0.016
20,-1.208,-0.515,-0.882,-0.206
21,-1.097,0.132,-0.869,-0.383
22,-0.951,-0.044,-0.046,-0.529
23,-0.605,0.273,0.131,0.496
24,-0.603,0.614,0.262,0.687
